author_name,repo,commit_count,commit_sec_min,commit_sec_max,contribution_span_days,is_recent_contributor,tier
Chris Holmes,opengeospatial/geoparquet,38,1627926627,1752522610,0,False,sponsored
Kyle Barron,opengeospatial/geoparquet,13,1650344789,1717227830,774,False,sponsored
Matthias Mohr,opengeospatial/geoparquet,10,1670261363,1724597606,0,False,sponsored
Max Jones,virtual-zarr/obspec-utils,53,1750448940,1769645978,0,False,sponsored
Chris Holden,hotosm/openaerialmap,10,1751406033,1751575667,1,False,sponsored
Indraneel Purohit,hotosm/openaerialmap,34,1747352603,1751478338,47,False,sponsored
Pete Gadomski,hotosm/openaerialmap,10,1747918796,1754926338,81,False,sponsored
Emma Paz,hotosm/openaerialmap,3,1747751751,1747778442,0,False,sponsored
Ricardo Duplos,hotosm/openaerialmap,1,1432735245,1432735245,0,False,sponsored
Sajjad Anwar,hotosm/tasking-manager,4,1543568698,1601327149,668,False,sponsored
xıʃǝɟ,hotosm/tasking-manager,159,1553592853,1589884189,420,False,sponsored
Wille Marcel,hotosm/tasking-manager,761,1538400461,1669990064,1523,False,sponsored
Chris Holmes,radiantearth/stac-api-spec,643,1494615567,1623187625,0,False,sponsored
David Bitner,radiantearth/stac-api-spec,2,1642108777,1642109157,0,False,sponsored
Kyle Barron,radiantearth/stac-api-spec,1,1661873756,1661873756,0,False,sponsored
Alexandra Kirk,radiantearth/stac-api-spec,25,1566429571,1580258495,160,False,sponsored
Matthew Hanson,radiantearth/stac-api-spec,448,1521747090,1607558403,0,False,sponsored
Matthias Mohr,radiantearth/stac-api-spec,674,1530625520,1676627397,0,False,sponsored
Emmanuel Mathot,radiantearth/stac-spec,98,1599634937,1725957782,1462,False,sponsored
Chris Holmes,radiantearth/stac-spec,931,1494615567,1647355248,0,False,sponsored
Pete Gadomski,radiantearth/stac-spec,6,1627935309,1723392273,1104,False,sponsored
Kyle Barron,radiantearth/stac-spec,2,1611703082,1615916421,48,False,sponsored
Alexandra Kirk,radiantearth/stac-spec,25,1566429571,1580258495,160,False,sponsored
Matthew Hanson,radiantearth/stac-spec,483,1521747090,1695841172,0,False,sponsored
Matthias Mohr,radiantearth/stac-spec,865,1530625520,1726047304,0,False,sponsored
Jamison French,MAAP-Project/maap-documentation,17,1690235299,1706792232,0,False,sponsored
Emma Paz,MAAP-Project/maap-documentation,22,1683748806,1695348153,0,False,sponsored
Henry Rodman,MAAP-Project/maap-documentation,4,1726856282,1768581943,0,False,sponsored
Aimee Barciauskas,MAAP-Project/maap-documentation,83,1620339153,1681162111,0,False,sponsored
Zac Deziel,MAAP-Project/maap-documentation,5,1733945016,1734714130,0,False,sponsored
Alex I. Mandel,MAAP-Project/maap-documentation,56,1604012166,1747754795,0,False,sponsored
Jamison French,MAAP-Project/maap-eoapi,27,1692618197,1766070025,0,False,sponsored
Henry Rodman,MAAP-Project/maap-eoapi,35,1725547779,1769457236,0,False,sponsored
Emmanuel Mathot,EOPF-Explorer/narratives,16,1759347919,1769535847,0,False,sponsored
Jonas Sølvsteen,EOPF-Explorer/narratives,1,1768847965,1768847965,0,False,sponsored
Emmanuel Mathot,EOPF-Explorer/titiler-eopf,80,1754906126,1769372074,0,False,sponsored
Ciaran Sweet,EOPF-Explorer/titiler-eopf,4,1758209812,1764856772,0,False,sponsored
Vincent Sarago,EOPF-Explorer/titiler-eopf,63,1753801074,1765802864,0,False,sponsored
Emmanuel Mathot,EOPF-Explorer/landing-page,34,1758807189,1769078087,0,False,sponsored
Jonas Sølvsteen,EOPF-Explorer/landing-page,11,1752572293,1769448205,0,False,sponsored
Kyle Barron,geoarrow/deck.gl-layers,99,1691436871,1761772123,0,False,sponsored
Kyle Barron,geoarrow/geoarrow,12,1695684680,1748010349,605,False,sponsored
Pete Gadomski,geoarrow/geoarrow-rs,16,1716371124,1748370159,370,False,sponsored
Kyle Barron,geoarrow/geoarrow-rs,844,1688163503,1767585447,0,False,sponsored
Wei Ji,geoarrow/geoarrow-rs,1,1707150354,1707150354,0,False,sponsored
Soumya Ranjan Mohanty,wri/project-zeno-deploy,8,1737648197,1757993920,0,False,sponsored
Leo Thomas,wri/project-zeno-deploy,30,1736262486,1755188593,0,False,sponsored
Sanjay Bhangar,wri/project-zeno-deploy,278,1744033221,1768392686,0,False,sponsored
Sajjad Anwar,wri/project-zeno-deploy,1,1752146774,1752146774,0,False,sponsored
Tarashish Mishra,wri/project-zeno-deploy,83,1730898390,1769605338,0,False,sponsored
Daniel Wiesmann,wri/project-zeno-deploy,113,1732809231,1769679424,0,False,sponsored
