repo,repo_stars,repo_forks,repo_createdAt,repo_updatedAt,repo_total_commits,repo_url,repo_description,repo_languages,repo_watchers,repo_open_issues,repo_license,repo_topics,repo_has_discussions,repo_has_wiki,repo_default_branch,repo_archived,repo_total_contributors,repo_devseed_contributors,repo_external_contributors,repo_community_ratio
radiantearth/stac-spec,879,189,2017-05-10T15:25:31Z,2026-02-13T02:36:32Z,3222,https://github.com/radiantearth/stac-spec,SpatioTemporal Asset Catalog specification - making geospatial assets openly searchable and crawlable,JavaScript,73,39,Apache-2.0,"satellites,satellite-imagery,earth-observation,earth-observation-catalogue",True,False,master,False,57,4,53,0.93
radiantearth/stac-api-spec,266,54,2020-03-02T16:21:32Z,2026-02-15T02:00:33Z,2790,https://github.com/radiantearth/stac-api-spec,SpatioTemporal Asset Catalog API specification - an API to make geospatial assets openly searchable and crawlable,"JavaScript,HTML,Shell",19,33,Apache-2.0,"ogc-api,stac-api,spatiotemporal-asset-catalog",True,True,release/v1.0.0,False,45,3,42,0.933
pydata/xarray,4089,1232,2013-09-30T17:21:10Z,2026-02-18T01:11:32Z,6360,https://github.com/pydata/xarray,N-D labeled arrays and datasets in Python,"Python,CSS,HTML,Dockerfile",101,1336,Apache-2.0,"python,netcdf,numpy,pandas,xarray,dask",True,False,main,False,415,7,408,0.983
wri/project-zeno-next,2,3,2025-05-13T12:48:35Z,2026-02-11T15:39:39Z,982,https://github.com/wri/project-zeno-next,,"TypeScript,CSS,JavaScript",5,64,,,False,True,develop,False,12,10,2,0.167
wri/project-zeno-deploy,3,0,2024-11-04T14:57:53Z,2026-02-14T08:23:45Z,521,https://github.com/wri/project-zeno-deploy,Find Zeno's cloud deploy code here!,HCL,7,17,MIT,,False,True,develop,False,7,6,1,0.143
MAAP-Project/maap-documentation,13,16,2020-01-22T16:39:38Z,2026-02-07T02:38:56Z,1542,https://github.com/MAAP-Project/maap-documentation,,,8,39,Apache-2.0,,False,True,develop,False,24,6,18,0.75
MAAP-Project/maap-eoapi,2,2,2023-04-03T07:06:03Z,2026-02-17T17:52:13Z,163,https://github.com/MAAP-Project/maap-eoapi,MAAP STAC infrastructure,"Python,TypeScript,JavaScript,Dockerfile",3,4,Apache-2.0,,False,True,main,False,6,2,4,0.667
EOPF-Explorer/landing-page,0,0,2025-07-10T15:44:50Z,2026-02-18T09:34:25Z,101,https://github.com/EOPF-Explorer/landing-page,,"JavaScript,CSS,Vue",2,21,,,True,True,main,False,7,2,5,0.714
EOPF-Explorer/titiler-eopf,9,2,2025-07-29T14:57:54Z,2026-02-05T07:38:38Z,156,https://github.com/EOPF-Explorer/titiler-eopf,TiTiler application for EOPF dataset,"Python,Jupyter Notebook,HTML,Go Template,Dockerfile",1,11,Apache-2.0,,True,False,main,False,6,3,3,0.5
EOPF-Explorer/narratives,0,3,2025-09-23T08:20:26Z,2026-01-27T17:44:33Z,37,https://github.com/EOPF-Explorer/narratives,,,0,1,,,False,True,main,False,4,2,2,0.5
Disasters-Learning-Portal/veda-disasters,0,2,2025-05-19T16:18:37Z,2026-02-17T22:00:32Z,491,https://github.com/Disasters-Learning-Portal/veda-disasters,Disasters Mapping Portal,"MDX,TypeScript,JavaScript,SCSS,Shell,CSS",1,65,MIT,,True,True,main,False,13,6,7,0.538
