repo,repo_stars,repo_forks,repo_createdAt,repo_updatedAt,repo_total_commits,repo_url,repo_description,repo_languages,repo_watchers,repo_open_issues,repo_license,repo_topics,repo_has_discussions,repo_has_wiki,repo_default_branch,repo_archived,repo_total_contributors,repo_core_contributors,repo_external_contributors,repo_community_ratio
developmentseed/openeo-studio,7,0,2025-11-13T10:05:43Z,2026-08-28T08:45:08Z,212,https://github.com/developmentseed/openeo-studio,Applying openEO processes for visual data exploration,"TypeScript,Python,JavaScript,HTML,Shell,Go Template,Dockerfile,url",1,36,MIT,,False,True,main,False,6,6,0,0.0
developmentseed/stac-auth-proxy,46,8,2024-11-28T16:55:02Z,2026-08-29T07:54:56Z,323,https://github.com/developmentseed/stac-auth-proxy,Reverse proxy to mediate communication between a client and an internally accessible STAC API in order to provide a flexible authentication mechanism.,"Python,Go Template,Makefile,Dockerfile,url",5,21,MIT,,True,False,main,False,11,6,5,0.455
developmentseed/eoapi-k8s,31,17,2023-06-07T13:38:32Z,2026-08-25T17:02:54Z,831,https://github.com/developmentseed/eoapi-k8s,eoAPI Kubernetes deployments with helm charts.,"Python,Shell,Go Template,PLpgSQL,url",6,5,MIT,"eoapi,earth-observation,gis,kubernetes",True,False,main,False,22,9,13,0.591
developmentseed/osm-teams,29,4,2018-10-23T18:47:28Z,2025-01-25T19:24:31Z,1164,https://github.com/developmentseed/osm-teams,Teams for OpenStreetMap! ,"JavaScript,url",26,99,MIT,"openstreetmap,osm-teams,collaboration,analytics,oauth2",False,True,develop,False,7,4,3,0.429
developmentseed/pixelverse,32,0,2025-10-16T20:11:49Z,2026-08-21T06:24:01Z,73,https://github.com/developmentseed/pixelverse,Cloud Native Toolings to Access + Generate Geospatial Embeddings,"Jupyter Notebook,Python,url",2,20,MIT,,False,False,main,False,5,3,2,0.4
developmentseed/moz-proenergia-backend,0,0,2025-12-01T20:18:51Z,2026-08-07T15:47:22Z,264,https://github.com/developmentseed/moz-proenergia-backend,Mozambique PROENERGIA+ backend,"Python,Shell,HTML,url",2,9,MIT,,False,True,main,False,3,3,0,0.0
developmentseed/eo-predictor,22,2,2025-07-24T12:29:14Z,2026-08-30T02:20:37Z,443,https://github.com/developmentseed/eo-predictor,Predicts and visualizes upcoming potential EO images,"TypeScript,Python,CSS,HTML,JavaScript,url",1,21,MIT,,True,False,main,False,6,4,2,0.333
developmentseed/titiler,1154,250,2019-06-28T16:54:56Z,2026-08-29T00:58:19Z,1025,https://github.com/developmentseed/titiler,Build your own Raster dynamic map tile services,"Python,HTML,Jupyter Notebook,Dockerfile,Mustache,Shell,url",19,26,MIT,"fastapi,cog,aws-cdk,aws-lambda,stac,cogeotiff,mosaicjson,raster,dynamic,server,rest,gdal,rasterio,tile,map-tile-server,map-tiles",True,False,main,False,86,15,71,0.826
developmentseed/tipg,218,38,2022-10-05T16:03:59Z,2026-08-28T08:43:12Z,782,https://github.com/developmentseed/tipg,Simple and Fast Geospatial OGC Features and Tiles API for PostGIS.,"PLpgSQL,Python,HTML,Shell,Dockerfile,url",7,25,MIT,,True,False,main,False,19,7,12,0.632
developmentseed/rio-stac,94,18,2020-05-08T17:34:30Z,2026-08-28T08:44:35Z,184,https://github.com/developmentseed/rio-stac,Create STAC item from raster datasets,"Python,url",11,13,MIT,,False,False,main,False,12,4,8,0.667
developmentseed/morecantile,161,30,2020-01-23T21:12:58Z,2026-08-11T07:37:39Z,559,https://github.com/developmentseed/morecantile,Construct and use OGC TileMatrixSets (TMS),"Python,url",8,11,MIT,,True,False,main,False,15,5,10,0.667
EOEPCA/eoepca-plus,6,9,2024-05-17T09:07:28Z,2026-08-28T13:25:46Z,2413,https://github.com/EOEPCA/eoepca-plus,EOEPCA+ deployments for development team,"Python,Shell,Open Policy Agent,url",25,1,Apache-2.0,,False,True,deploy-develop,False,38,5,33,0.868
EOEPCA/resource-discovery,0,1,2024-06-18T08:49:02Z,2026-06-23T10:54:41Z,61,https://github.com/EOEPCA/resource-discovery,Resource Discovery,"Dockerfile,url",4,49,Apache-2.0,,True,True,main,False,5,2,3,0.6
EOEPCA/data-access,1,2,2024-06-13T13:37:29Z,2026-05-23T10:13:56Z,39,https://github.com/EOEPCA/data-access,EOEPCA+ Data Access BB,url,5,24,Apache-2.0,,True,False,main,False,5,2,3,0.6
EOEPCA/demo,1,5,2021-03-31T08:31:35Z,2026-07-28T09:26:15Z,423,https://github.com/EOEPCA/demo,Demonstration of Common Architecture building blocks,"Jupyter Notebook,Python,Common Workflow Language,Shell,Dockerfile,url",26,0,Apache-2.0,,False,True,main,False,20,2,18,0.9
GenericMappingTools/pygmt,873,255,2017-03-17T20:31:51Z,2026-08-27T09:33:47Z,3531,https://github.com/GenericMappingTools/pygmt,A Python interface for the Generic Mapping Tools.,"Python,Makefile,url",25,187,BSD-3-Clause,"python,geoscience,earth-science,geophysics,maps,seismology,hacktoberfest",False,False,main,False,57,3,54,0.947
MAAP-Project/maap-eoapi,5,2,2023-04-03T07:06:03Z,2026-08-29T23:37:30Z,198,https://github.com/MAAP-Project/maap-eoapi,MAAP STAC infrastructure,"Python,Dockerfile,url",3,6,Apache-2.0,"eoapi,github-actions",False,True,main,False,7,2,5,0.714
MAAP-Project/maap-documentation,14,16,2020-01-22T16:39:38Z,2026-08-25T20:16:29Z,1616,https://github.com/MAAP-Project/maap-documentation,,url,7,46,Apache-2.0,,False,True,develop,False,24,6,18,0.75
opengeospatial/geoparquet,1085,75,2021-07-30T18:06:15Z,2026-08-29T09:08:05Z,144,https://github.com/opengeospatial/geoparquet,"Specification for storing geospatial vector data (point, line, polygon) in Parquet","Python,url",58,50,Apache-2.0,"gis,cloud-native,geospatial,apache-parquet,geoparquet",True,True,main,False,26,1,25,0.962
osm-seed/osm-seed,175,41,2018-05-04T10:49:36Z,2026-08-21T22:58:00Z,1001,https://github.com/osm-seed/osm-seed,A collection of Dockerfiles to run a containerized version of OpenStreetMap,"Shell,PLpgSQL,Dockerfile,Python,HTML,JavaScript,Mustache,PHP,url",30,25,MIT,"docker,nominatim,openstreetmap,overpass,tasking-manager",False,True,develop,False,9,3,6,0.667
ecmwf/qubed,14,1,2024-10-08T10:48:05Z,2026-08-14T13:05:42Z,402,https://github.com/ecmwf/qubed,A data structure for efficiently representing and querying complex-tree datacubes.,"Rust,Python,Dockerfile,url",12,13,Apache-2.0,,False,False,main,False,6,1,5,0.833
OSMCha/osmcha-frontend,146,46,2017-04-04T05:10:25Z,2026-07-28T06:29:07Z,1208,https://github.com/OSMCha/osmcha-frontend, Frontend for the osmcha-django REST API,"TypeScript,CSS,JavaScript,HTML,Dockerfile,Shell,url",94,302,ISC,"dataquality,openstreetmap,osm,osmcha,qa",False,True,main,False,27,3,24,0.889
OSMCha/osmcha-django,40,24,2015-08-04T01:33:13Z,2026-08-05T12:14:21Z,1273,https://github.com/OSMCha/osmcha-django,A database manager and API for OSMCha,"Python,HTML,Shell,Dockerfile,url",8,22,NOASSERTION,"openstreetmap,qa,gis,django,osm",False,True,main,False,14,3,11,0.786
sentinel-hub/titiler-openeo,34,6,2024-10-30T12:33:56Z,2026-08-26T11:39:17Z,500,https://github.com/sentinel-hub/titiler-openeo,openEO by TiTiler,"Python,Mustache,Dockerfile,url",6,25,MIT,"openeo,rasterio,stac,titiler",True,False,main,False,10,5,5,0.5
stac-utils/pystac,458,132,2017-11-08T13:30:15Z,2026-08-29T00:58:15Z,2267,https://github.com/stac-utils/pystac,Python library for working with any SpatioTemporal Asset Catalog (STAC),"Python,Jinja,Shell,url",19,81,NOASSERTION,,False,False,main,False,69,7,62,0.899
stac-utils/stac-fastapi,323,125,2020-06-17T03:31:20Z,2026-08-29T07:55:50Z,567,https://github.com/stac-utils/stac-fastapi,STAC API implementation with FastAPI. ,"Python,Shell,Dockerfile,Makefile,url",12,42,MIT,,True,False,main,False,56,9,47,0.839
stac-utils/stac-fastapi-pgstac,111,59,2022-07-28T01:48:07Z,2026-08-04T08:20:03Z,430,https://github.com/stac-utils/stac-fastapi-pgstac,PostgreSQL backend for stac-fastapi using pgstac (https://github.com/stac-utils/pgstac),"Python,Shell,Makefile,Dockerfile,url",10,36,MIT,,True,False,main,False,47,9,38,0.809
stac-utils/rustac,144,24,2021-03-29T17:08:13Z,2026-08-27T23:03:22Z,1221,https://github.com/stac-utils/rustac,The power of Rust for the STAC ecosystem,"Rust,Python,Shell,JavaScript,TypeScript,HTML,url",3,28,Apache-2.0,"geospatial,raster,stac,command-line,earth-observation,metadata,rust,python,server",True,False,main,False,15,4,11,0.733
stac-utils/pystac-client,207,62,2021-03-03T03:33:04Z,2026-08-24T06:13:32Z,1090,https://github.com/stac-utils/pystac-client,Python client for searching STAC APIs,"Python,Shell,url",7,23,NOASSERTION,"stac,geospatial,python",False,False,main,False,41,5,36,0.878
stac-utils/pgstac,222,55,2021-03-09T16:34:19Z,2026-08-26T10:32:57Z,265,https://github.com/stac-utils/pgstac,"Schema, functions and a python library for storing and accessing STAC collections and items in PostgreSQL","PLpgSQL,Rust,Shell,Python,Dockerfile,url",13,70,MIT,"postgis,stac,sql",True,True,main,False,24,10,14,0.583
source-cooperative/source.coop,26,9,2024-07-15T14:11:59Z,2026-08-30T23:18:08Z,821,https://github.com/source-cooperative/source.coop,Source Cooperative Web Interface & API,"TypeScript,CSS,Shell,JavaScript,url",2,97,Apache-2.0,,False,True,main,False,15,1,14,0.933
zarr-developers/pydantic-zarr,49,5,2023-05-30T20:55:13Z,2026-08-08T21:35:00Z,488,https://github.com/zarr-developers/pydantic-zarr,Pydantic models for Zarr ,"Python,Just,url",4,33,BSD-3-Clause,,False,True,main,False,6,1,5,0.833
zarr-developers/VirtualiZarr,301,69,2024-03-08T19:24:24Z,2026-08-29T13:27:59Z,645,https://github.com/zarr-developers/VirtualiZarr,"Cloud-Optimize your Scientific Data as Virtual Zarr stores, using xarray syntax.","Python,url",12,175,Apache-2.0,,True,False,main,False,45,5,40,0.889
zarr-developers/zarr-python,2046,448,2015-12-15T14:49:40Z,2026-08-30T14:32:14Z,3037,https://github.com/zarr-developers/zarr-python,"An implementation of chunked, compressed, N-dimensional arrays for Python.","Python,Just,url",37,511,MIT,"zarr,ndimensional-arrays,compressed,python",True,False,main,False,176,5,171,0.972
eopf-toolkit/eopf-101,39,16,2025-04-16T07:46:31Z,2026-06-09T08:51:02Z,179,https://github.com/eopf-toolkit/eopf-101,EOPF 101 introduces you to tools and practical examples working with Sentinel Zarr data created by the ESA EOPF Sample Service.,"Jupyter Notebook,Python,Shell,Makefile,HTML,url",3,21,Apache-2.0,"copernicus,eopf,esa,sentinels",False,False,main,False,20,4,16,0.8
Clay-foundation/model,611,105,2023-09-29T12:08:10Z,2026-08-30T22:54:03Z,135,https://github.com/Clay-foundation/model,The Clay Foundation Model - An open source AI model and interface for Earth,"Python,Jupyter Notebook,Shell,url",22,40,Apache-2.0,"earth-observation,foundation-model,sentinel-2,sentinel-1,digital-elevation-model,embeddings",True,False,main,False,22,6,16,0.727
